inference,description,score,short rationale
Freeze-burst likely,"Leak alerts occur shortly after water/pipe temperature drops below 0 °C for several hours, indicating a freeze-induced crack or burst.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Pre-freeze risk window,Sustained temperatures in the 0–3 °C range without alerts suggest imminent freeze risk; proactive insulation or trickle flow may prevent future activations.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
Thaw-release leak,"No alerts during deep freeze, followed by multiple alerts when temperature rises above 0 °C, indicates an ice plug thawing and releasing accumulated water.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Hot-line expansion stress,"Alerts are preceded by rapid temperature rise (e.g., boiler or heater on), suggesting thermal expansion stressing joints in hot-water lines.",4,Exposes temporal usage or device/location cues that can profile behavior.
Cold-supply fracture,"Sharp temperature drop coincides with leak activation and long alert duration, consistent with a crack on a cold-water feed line.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Transient thermal-leak coupling,"Alerts begin during temperature spikes but resolve when temperature returns to baseline, implying expansion/contraction opens and closes a marginal joint.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Long-duration freeze damage,Extended alert durations during sub‑zero temperatures indicate a persistent leak from a freeze-damaged section rather than a splash/false positive.,1,Diagnostic/false-positive indications; minimal privacy risk.
Rapid dT/dt stress,"Leak activations correlate with large, fast temperature changes (high |dT/dt|), suggesting pressure or joint stress during heating/cooling transitions.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Nighttime cold cluster,"Alerts cluster in the coldest hours (late night/early morning) when temperatures are lowest, indicating freeze susceptibility.",5,Strongly reveals routines/occupancy or appliance/location patterns enabling profiling.
Seasonal cold vulnerability,Higher alert frequency during cold months compared to warm months indicates infrastructure vulnerable to seasonal freezing.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
Hot-water appliance leak,"Temperature readings rise notably at activation time and remain elevated during the alert, suggesting a leak from a hot-water source (e.g., heater, dishwasher).",4,Exposes temporal usage or device/location cues that can profile behavior.
Cold-main seep,Temperature dips at activation with slow recovery indicate ingress of colder supply water near the sensor consistent with a cold-main leak.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
False positive—no thermal signature,"Frequent short alerts with no detectable temperature change imply splashes, condensation, or sensor placement issues rather than true leaks.",1,Diagnostic/false-positive indications; minimal privacy risk.
Sensor failure—flatline temperature,"Temperature signal remains constant for long periods while alerts occur, suggesting a stuck or failed temperature sensor.",2,Mostly device/system mechanics; low direct behavioral exposure.
Resolution linked to warming,"Alerts during cold spells resolve as temperature rises above a threshold, indicating leaks triggered by contraction that seal after warming.",2,Mostly device/system mechanics; low direct behavioral exposure.
Resolution linked to cooling,"Alerts during heat events resolve as temperature cools, indicating expansion-induced seepage that closes when materials contract.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Pressure surge proxy,"Activations coincide with steep temperature oscillations from heater cycles, suggesting pressure transients causing joint weeping.",4,Exposes temporal usage or device/location cues that can profile behavior.
Wet-floor heat transfer,"Slight temperature elevation appears seconds after activation and persists during the alert, consistent with warm water contacting/near the sensor.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Cold puddle proximity,"Local temperature dips right after activation imply cold water pooling around the probe, reinforcing a genuine leak rather than humidity.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Alert duration as severity proxy,Longer alert durations at sub‑zero temperatures correlate with more severe structural damage risk versus brief alerts near room temperature.,4,Exposes temporal usage or device/location cues that can profile behavior.
Intermittent leak at threshold,Repeated short activations when temperature hovers around a specific setpoint indicate a marginal seal that opens/closes around that temperature.,2,Mostly device/system mechanics; low direct behavioral exposure.
"Slow warm‑up, persistent alert","During an alert, slow temperature increase toward ambient suggests continual inflow of cooler water—indicative of an ongoing leak.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
"Rapid warm‑up, quick resolve",Fast return of temperature to baseline and short activation suggest a splash or transient drip rather than a continuous leak.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
Predictive risk from volatility,"Rising temperature variance over days precedes the first activation, suggesting emerging stress conditions suitable for predictive maintenance.",4,Exposes temporal usage or device/location cues that can profile behavior.
Time‑to‑alert metric,Short lag between temperature anomaly onset and activation indicates sensitive detection; long lag suggests delayed sensing or placement issues.,2,Mostly device/system mechanics; low direct behavioral exposure.
Diurnal risk profile,"Activations peak at consistent times of day that coincide with recurring temperature minima or maxima, guiding targeted mitigation.",5,Strongly reveals routines/occupancy or appliance/location patterns enabling profiling.
Weekend/holiday pattern,"Alerts cluster on days with distinct temperature schedules (e.g., reduced heating), implying risk tied to occupancy‑driven temperature plans.",5,Strongly reveals routines/occupancy or appliance/location patterns enabling profiling.
Heater control fault indicator,Frequent activations during erratic high temperatures suggest malfunctioning heating controls creating stress on hot‑water plumbing.,4,Exposes temporal usage or device/location cues that can profile behavior.
Cold snap sensitivity index,A single rapid cold snap triggers multiple activations; sensitivity can be summarized as alerts per degree of temperature drop.,4,Exposes temporal usage or device/location cues that can profile behavior.
Alert resolution threshold estimation,The temperature at which alerts consistently resolve approximates a functional threshold for safe operation (empirical ‘no‑leak’ bound).,2,Mostly device/system mechanics; low direct behavioral exposure.
Non-thermal leak sources,"Alerts occur across a wide range of temperatures with no correlation, hinting at causes unrelated to thermal effects (e.g., mechanical vibration).",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Location/placement mismatch,Large temperature swings without activations suggest the sensor is far from vulnerable plumbing; re‑placement may improve detection.,1,Diagnostic/false-positive indications; minimal privacy risk.
Hot‑appliance runtime signature,"Consistent activations during known hot‑water usage windows (e.g., laundry cycles reflected as temp rise) suggest downstream appliance leaks.",4,Exposes temporal usage or device/location cues that can profile behavior.
Cold‑inlet hammering,"Activations align with sudden cold temperature dips after long idle periods, consistent with water hammer and joint stress on cold inlets.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Severity escalation after freeze,"Post‑freeze periods show longer alert durations per event compared to pre‑freeze alerts, indicating cumulative damage.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Alert‑free despite sub‑zero,Sustained sub‑zero temperatures with no activations suggest effective insulation or dry location—useful as a resilience indicator.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
Recovery lag diagnostic,Time from activation to temperature normalization serves as a diagnostic for leak proximity (shorter if leak is near the temperature probe).,1,Diagnostic/false-positive indications; minimal privacy risk.
Threshold bug detection,"Activations consistently occur at the same temperature regardless of rate of change, hinting at simplistic threshold logic causing nuisance alerts.",1,Diagnostic/false-positive indications; minimal privacy risk.
Resolve‑without‑thermal‑change,"Alert resolves with no temperature shift, suggesting manual intervention (wipe/dry) rather than cessation of a leak source.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Lagged correlation (thermal inertia),"Peak temperature impact trails activation time by a fixed delay, indicating thermal inertia of surrounding materials; useful for modeling.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Alert density vs. mean temperature,"Event rate increases as mean temperature decreases below an empirical break‑point, enabling a simple risk curve.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Micro‑drip discriminator,"Very short, repeated activations with minimal temperature change imply micro‑drips; mitigation differs from continuous‑flow leaks.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Prolonged pooling,"Temperature remains slightly depressed/elevated even after alert resolves, suggesting residual pooled water near the sensor.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Sensor adjacency to heater,Frequent activations only during heater on‑cycles with local temperature spikes imply the sensor is too close to a heat source.,4,Exposes temporal usage or device/location cues that can profile behavior.
Cold air draft confounder,"Activations coincide with sudden temperature drops unrelated to water flow (e.g., door/open window), suggesting a draft causing false triggers.",1,Diagnostic/false-positive indications; minimal privacy risk.
Risk scoring via joint metric,"Combine alert count, average alert duration, and average temperature during alerts to form a simple composite risk indicator.",4,Exposes temporal usage or device/location cues that can profile behavior.
Maintenance efficacy check,"Post‑maintenance periods show reduced activations during comparable temperature ranges, implying successful mitigation (needs controlled comparison).",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Outlier event isolation,"A singular activation at an atypical temperature suggests a unique causal episode (e.g., appliance failure) distinct from baseline risk.",4,Exposes temporal usage or device/location cues that can profile behavior.
Alert gap vs cold exposure,Long gaps between activations despite repeated cold exposures indicate partial resilience; short gaps point to persistent vulnerability.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
Resolution bottleneck indicator,"Temperature normalizes quickly but alert remains active for long durations, suggesting notification/clearance logic lag or communication delays.",2,Mostly device/system mechanics; low direct behavioral exposure.
Circadian mitigation opportunity,"If alerts consistently begin before heating schedule ramps up, preheating slightly earlier could reduce leak triggers.",5,Strongly reveals routines/occupancy or appliance/location patterns enabling profiling.
