Inference,Description,Criticality factor,Reason
Temporal clustering of events,"Leak detections grouped around specific times reveal recurring triggers such as user routines, pump schedules, or environmental patterns.",3,Time-of-day leak patterns can reveal rough daily routines/usage cycles.
Seasonal vulnerability pattern,"Clusters of leaks in specific months reflect susceptibility to seasonal humidity, rainfall, or temperature cycles.",2,"Mostly climate/building sensitivity by season, weak individual linkage."
Night-day leak asymmetry,A higher frequency of leaks at night suggests pressure buildup when most fixtures are closed and background pressure is higher.,3,"Implies night-time pressure/usage differences, hints at sleep/home routines."
Post-event leak onset,"Leaks detected immediately after showers, flushing, or appliance cycles indicate load-driven stress points in the plumbing system.",3,Links leaks to showers/flushing/appliance cycles → usage timing of fixtures.
Leak interval contraction,A decreasing time gap between consecutive leaks suggests accelerating degradation of the water distribution system.,2,Indicates system degradation more than behavior; mild owner-level risk.
Recovery time between leaks,"Long intervals between detections indicate relatively stable conditions, whereas short intervals point to chronic vulnerability.",2,"Stability vs chronic issues; mostly infrastructure, little behavioral info."
Temperature-linked leak timing,Leak timings that align with heating or cooling cycles imply expansion/contraction stress on pipes and joints.,2,"Tied to HVAC cycles; indirectly hints at comfort/operation, but weakly."
Holiday or low-activity leak timing,"Leaks during periods of low human activity or absence suggest failures tied to autonomous systems (e.g., irrigation, automatic pumps) rather than manual use.",4,Directly tied to absence/low activity; strong occupancy/away patterns.
Recurring weekly patterns,Leak occurrences on specific weekdays indicate alignment with scheduled building operations or maintenance routines.,3,"Weekly rhythm (e.g., specific days) reflects routines/operations schedule."
Time-of-onset precision,Leaks starting at nearly identical times across days or weeks imply a strong connection to automated pressure or pump schedules.,2,Strong automation/pump schedule signal; low direct personal behavior.
Leak hotspots,"Areas with consistently high leak detections reveal structural weakness, aging infrastructure, or poor-quality installation in those zones.",2,Structural weakness localization; mostly building-level sensitivity.
Adjacent-sensor activation chain,Sequential leak detections in neighboring sensors highlight the direction and path of water spread across surfaces or spaces.,1,Just physical spread path; no meaningful behavior/identity signal.
Vertical propagation mapping,"Leak detections first on upper floors and then on lower floors reveal downward seepage paths through walls, ceilings, or shafts.",1,Gravity-based seepage path; structural only.
Boundary saturation limit,"When leak spread consistently stops at specific sensors, it indicates the existence of structural barriers or transitions in material properties.",1,Indicates barriers/material transitions; not about people.
Hidden cavity identification,Leak detections that are spatially disconnected from expected flow paths suggest water accumulation in hidden voids or cavities.,2,Reveals hidden structural issues that may affect property value.
Cross-room correlation,"Repeated detections in adjacent rooms imply shared plumbing lines, common junctions, or interconnected structural weaknesses.",1,Shared plumbing/junctions; minimal behavioral signal.
Floor-level vulnerability,Disproportionate leak detections on certain floors indicate uneven structural resilience or localized pressure stress.,2,Highlights vulnerable floors/units; could affect specific occupants indirectly.
Multiple-source leak detection,Simultaneous detections at non-adjacent locations indicate multiple independent leak sources rather than spread from a single origin.,1,"Distinguishes multiple leaks vs one; physical, not behavioral."
Slope or gravity-driven pooling,Leaks consistently recorded by the lowest elevation sensors indicate that water tends to pool rather than disperse evenly.,1,Elevation-driven pooling; purely physical.
Material-specific stress mapping,Uneven leak distribution across zones with different pipe or fixture materials reflects differential material deterioration or incompatibility.,1,Diffs between materials; no user behavior.
Infrastructure zone prioritization,"Zones with high leak detection density can be prioritized for detailed inspection, reinforcement, or replacement.",1,Priority zones for inspection; mostly asset-management info.
Localized structural fatigue,Linear clusters of repeated leaks along corridors or walls point to stress concentrations potentially caused by settlement or repetitive loading.,1,Stress concentrations; physical infrastructure only.
Expansion joint leakage detection,Leaks repeatedly detected near edges or joints suggest degradation or failure of seals at expansion joints or structural interfaces.,1,Joint/seal degradation; non-personal.
False-pooling pattern detection,Detections appearing in downstream areas without corresponding upstream activity reveal water bypassing expected paths through cracks or hidden channels.,1,Flow path anomalies; structural.
Pressure branch segmentation,Repeated leaks along specific sections of the network identify branches experiencing higher hydraulic stress or pressure imbalances.,1,"Identifies stressed branches; network topology, not people."
Leak propagation velocity estimation,Time differences between sensor activations can be used to estimate the velocity of water movement through building elements.,1,Water movement speed through structure; no personal link.
Microleak development detection,A gradual increase in leak frequency at a single location indicates the evolution of a minor seepage into a more significant leak.,2,Persistent micro-issues at specific spots; property/maintenance impact.
Containment performance evaluation,"If leak detections remain confined to a small area, it indicates that barriers, slopes, or drainage measures effectively contain water.",1,Effectiveness of barriers/slopes; purely physical.
Absorption vs. flow classification,"Slow, isolated detections suggest primarily absorptive behavior of materials, while rapid multi-sensor activations indicate free-surface water flow.",1,"Material behavior (absorptive vs free flow), not behavioral."
Pipe stress fatigue signature,Bursts of rapid leak detections followed by long quiet periods suggest episodic pipe rupture or stress fatigue events.,1,Episodic rupture patterns; infrastructure health only.
Leak recurrence under load,Leaks that appear only when the system is under high demand imply stress-induced fractures or weakness activated by pressure surges.,1,Load-related weakness; no direct personal profiling.
Leak disappearance inference,"If leak detections cease without explicit repair, it suggests temporary self-mitigation through pressure relief, drying, or partial self-sealing.",1,Self-mitigation behavior of system; minimal privacy impact.
Backflow pattern detection,Reverse-ordered sensor activations indicate backflow or reversed hydraulic gradients in segments of the plumbing system.,1,"Hydraulic reverse flow; technical, not personal."
Repair effectiveness measurement,A marked reduction or absence of leak detections following maintenance indicates that the repair action was effective.,2,Implies repair events and quality; some owner/maintenance behavior.
Re-failure prediction,Repeated leaks at or near previously repaired locations within short time windows suggest incomplete or temporary fixes and high re-failure risk.,1,Risk estimate around repaired spots; infrastructure-focused.
Component lifespan estimation,Long-term leak histories across similar components enable estimation of typical time-to-failure and expected service life.,1,Lifetime statistics; generic asset metrics.
Maintenance cycle optimization,Patterns in leak occurrence can be used to determine optimal intervals for preventive inspections and maintenance.,1,"Optimized maintenance intervals; operational, not personal."
Failure cluster forecasting,Increasing spatial spread of leak detections over time indicates systemic decline and the likelihood of future multi-point failures.,1,Predictive mapping of future failures; system-level.
Weak-link identification,The location with the highest cumulative leak count emerges as the dominant weak link in the overall system.,1,Dominant weak link localization; structural.
Pipe section failure probability,Relative leak frequencies across pipe sections support probabilistic ranking of failure risk for each segment.,1,"Failure probabilities; risk management, not behavior."
Rain-driven infiltration,Leak detections that coincide exclusively with rainfall events indicate building envelope or roof infiltration rather than internal pipe failures.,1,Correlation with rainfall; environment + envelope only.
Temperature-induced stress inference,Leak patterns that track cold snaps or heat waves point to failures caused by thermal contraction or expansion of materials.,1,Thermal stress on materials; non-personal.
Humidity-modulated leak spread,Faster or more extensive leak spreading during humid periods suggests increased material saturation and slower drying.,1,Humidity impact on spread; physical environment.
Groundwater or soil moisture effects,Recurring detections in underground or basement areas reflect external hydrostatic pressure or rising groundwater influence.,2,"Indicates hydrostatic/groundwater conditions, tied to site/location."
Storm event impact estimation,Leak spikes following intense storms reveal the building’s vulnerability to extreme weather events and drainage limitations.,2,Shows vulnerability to extreme weather; site-specific risk profile.
Usage-driven stress mapping,"Leak histories aligned with daily usage peaks highlight which fixtures, rooms, or systems induce the greatest hydraulic stress.",3,Leak history tied to daily usage peaks; reveals heavy-use rooms/times.
Non-usage leak detection,"Leaks detected during periods with no intentional water use point to passive failures like corrosion, valve leakage, or unnoticed drips.",3,Requires knowing “no intentional use” periods → approximates away/asleep/closed times.
Irrigation schedule alignment,Outdoor or peripheral leak detections coinciding with irrigation cycles indicate faults in garden or external water lines.,3,Encodes irrigation schedule; hints at occupancy/habits for outdoor areas.
Appliance frequency stress inference,"Leak patterns that correlate with frequent operation of washing machines, dishwashers, or heaters signal repetitive-load fatigue in associated lines.",3,Correlates leaks with appliance use frequency; lifestyle/household pattern signal.
Occupancy-level inference,Variations in leak occurrence between occupied and unoccupied periods allow inference of how occupant behavior affects leak risk.,4,Explicitly derives occupancy impact on leak risk → strong behavior/occupancy profiling.
Reverse leak path inference,Unexpected early activations at distant sensors uncover unanticipated reverse or alternate flow paths for leaked water.,1,Alternate flow paths; structural only.
Intermittent seal failure detection,Leaks that appear only after pressure cycles and then vanish suggest seals that fail under stress but partially reseat afterward.,1,Seal behavior over pressure cycles; non-personal.
Cross-system coupling inference,Leak detections that follow HVAC or ventilation cycles indicate interactions with condensation drains or pressure changes from other building systems.,2,Interactions with HVAC/ventilation; may hint at mechanical operation patterns.
Hydraulic shock susceptibility,Leak events triggered after abrupt valve closures or pump starts reveal vulnerability to water hammer or sudden pressure transients.,1,Water hammer vulnerability; infrastructure.
Drainage sufficiency inference,Prolonged sensor activations after leak onset indicate inadequate drainage slopes or insufficient routes for water removal.,1,Quality of drainage routes/slopes; physical.
Material porosity estimation,The rate and spatial spread of leak detections provide indirect evidence of how porous or absorptive surrounding materials are.,1,Porosity/absorption estimates; no user behavior.
Water stagnation zones,Sensors that repeatedly report long-duration moisture indicate structural depressions or features where water tends to stagnate.,1,Structural depressions; physical layout only.
Leak closure or self-sealing inference,"Sudden cessation of leak detections without intervention may indicate self-sealing behavior due to sediment, mineral deposits, or pressure changes.",1,Self-sealing due to deposits/pressure; zero behavioral content.
Pipe movement or vibration correlation,Leaks repeatedly occurring after pump startups or machinery operation suggest vibration-induced displacement or stress in pipes.,1,"Correlation with machinery vibration; mechanical, not personal."
Inter-floor insulation performance,The speed and intensity of leak detections between floors reflect how effective floor assemblies are at slowing or containing vertical water migration.,1,Effectiveness of floor assemblies; building quality only.
Drain backflow risks,"Leak detections near floor drains or low fixtures can reveal backflow problems due to poor slope, blockages, or overloaded drainage.",1,"Backflow problems; plumbing risk, minimal privacy."
Capillary flow detection,Slow upward progression of activations indicates capillary rise of water through materials rather than purely gravity-driven flow.,1,Capillary rise behavior; physical.
False alarm zone recognition,Historical patterns of inconsistent or transient detections at certain sensors reveal locations prone to false alarms from condensation or non-leak moisture.,2,"Identifies areas prone to condensation (e.g., bathrooms/kitchens); weak room-usage signal."
Leak energy footprint inference,"The frequency, duration, and spread of leak detections allow approximation of cumulative water loss and associated resource impact.",3,Approximates cumulative water loss/use; can correlate with consumption and household scale.
Leak-free zone identification,"Areas with long-term absence of leak detections suggest robust plumbing design, effective sealing, or lower exposure to hydraulic and structural stress.",2,Robust or low-stress zones; may indirectly indicate rarely used areas.
Building settlement or foundation movement indicator,Progressive shifting of leak locations along specific lines or zones hints at structural deformation or foundation movement affecting pipe integrity.,2,Structural deformation profile; tied to specific property but not personal routines.